task_id,category
0383a3ee-47a7-41a4-b493-519bdefe0488,Pop Culture & Entertainment
65638e28-7f37-4fa7-b7b9-8c19bb609879,Science & Mathematics
3ff6b7a9-a5bd-4412-ad92-0cd0d45c0fee,Science & Mathematics
708b99c5-e4a7-49cb-a5cf-933c8d46470d,Science & Mathematics
0a65cb96-cb6e-4a6a-8aae-c1084f613456,"Arts, Literature & Museums"
11af4e1a-5f45-467d-9aeb-46f4bb0bf034,Technology & Computer Science
e142056d-56ab-4352-b091-b56054bd1359,Science & Mathematics
50ad0280-0819-4bd9-b275-5de32d3b5bcb,"Language, Linguistics & Cryptography"
65da0822-a48a-4a68-bbad-8ed1b835a834,History & Politics
0bb3b44a-ede5-4db5-a520-4e844b0079c5,"Language, Linguistics & Cryptography"
7673d772-ef80-4f0f-a602-1bf4485c9b43,History & Politics
73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,Science & Mathematics
c365c1c7-a3db-4d5e-a9a1-66f56eae7865,Geography & Travel
ad2b4d70-9314-4fe6-bfbe-894a45f6055f,Other
7d4a7d1d-cac6-44a8-96e8-ea9584a70825,Science & Mathematics
dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,Pop Culture & Entertainment
e2d69698-bc99-4e85-9880-67eaccd66e6c,Pop Culture & Entertainment
3f57289b-8c60-48be-bd80-01f8099ca449,Other
a56f1527-3abf-41d6-91f8-7296d6336c3f,Pop Culture & Entertainment
23dd907f-1261-4488-b21c-e9185af91d5e,"Arts, Literature & Museums"
42d4198c-5895-4f0a-b0c0-424a66465d83,Pop Culture & Entertainment
d5141ca5-e7a0-469f-bf3e-e773507c86e2,Science & Mathematics
9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,Pop Culture & Entertainment
840bfca7-4f7b-481a-8794-c560c340185d,Science & Mathematics
e0c10771-d627-4fd7-9694-05348e54ee36,Science & Mathematics
a0068077-79f4-461a-adfe-75c1a4148545,Science & Mathematics
e29834fd-413a-455c-a33e-c3915b07401c,Pop Culture & Entertainment
bda648d7-d618-4883-88f4-3466eabd860e,Science & Mathematics
50ec8903-b81f-4257-9450-1085afd2c319,Science & Mathematics
cf106601-ab4f-4af9-b045-5295fe67b37d,Other
5f982798-16b9-4051-ab57-cfc7ebdb2a91,Science & Mathematics
a0c07678-e491-4bbc-8f0b-07405144218f,Other
5a0c1adf-205e-4841-a666-7c3ef95def9d,"Arts, Literature & Museums"
0bdb7c40-671d-4ad1-9ce3-986b159c0ddc,Science & Mathematics
08c0b6e9-1b43-4c2e-ae55-4e3fce2c2715,Pop Culture & Entertainment
db4fd70a-2d37-40ea-873f-9433dc5e301f,Geography & Travel
853c8244-429e-46ca-89f2-addf40dfb2bd,"Arts, Literature & Museums"
7a4a336d-dcfa-45a0-b014-824c7619e8de,Pop Culture & Entertainment
0512426f-4d28-49f0-be77-06d05daec096,Pop Culture & Entertainment
